registration_id,email,first_name,last_name,phone,birthdate,parent_email,assigned_role,team_name,age_group,fee_amount,payment_status,gear_item,gear_size,gear_quantity,registered_at
5043,emma.martinez26@hotmail.com,Emma,Martinez,555-5826,1978-12-25,,parent,U12 Lightning,U12,15.00,unpaid,Socks,YM,1,2026-06-08 17:31:00
5044,alex.johnson65@corp.io,Alex,Johnson,555-8576,1976-02-22,,volunteer,U14 Cobras,U14,50.00,unpaid,Jersey,YM,2,2026-06-08 10:30:00
5045,noah.smith33@yahoo.com,Noah,Smith,555-5143,1994-05-07,,volunteer,U12 Lightning,U12,40.00,partial,Cleats,YM,2,2026-06-13 13:56:00
5046,william.martinez42@hotmail.com,William,Martinez,555-3125,1973-11-24,,coach,U12 Lightning,U12,60.00,partial,Shorts,M,3,2026-06-28 10:16:00
5047,olivia.oakley47@hotmail.com,Olivia,Oakley,555-4227,1990-05-26,,coach,U14 Eagles,U14,20.00,partial,Cleats,L,1,2026-06-19 14:18:00
5048,marcus.jones34@gmail.com,Marcus,Jones,555-3767,1993-07-14,,coach,U14 Eagles,U14,20.00,partial,Shorts,YL,2,2026-06-08 08:11:00
5049,james.johnson59@gmail.com,James,Johnson,555-2389,1980-06-03,,coach,U12 Bears,U12,25.00,paid,Jersey,YM,1,2026-06-23 10:29:00
5050,isabella.rodriguez19@hotmail.com,Isabella,Rodriguez,555-2576,1988-12-05,,coach,U14 Cobras,U14,45.00,partial,Cleats,M,3,2026-06-25 17:52:00
5051,isabella.davis89@gmail.com,Isabella,Davis,555-6612,1994-04-12,,parent,U14 Eagles,U14,20.00,partial,Socks,M,1,2026-06-05 14:39:00
5052,grace.rodriguez71@gmail.com,Grace,Rodriguez,555-9775,1988-10-13,,coach,U10 Storm,U10,20.00,partial,Cleats,YM,1,2026-06-20 08:42:00
5053,noah.martinez19@hotmail.com,Noah,Martinez,555-8540,2012-02-13,parent_martinez@outlook.com,player,U12 Lightning,U12,20.00,partial,Shorts,S,2,2026-06-23 14:20:00
5054,alex.vance9@outlook.com,Alex,Vance,555-1199,1986-12-17,,volunteer,U10 Storm,U10,25.00,partial,Jersey,XL,1,2026-06-15 16:56:00
5055,grace.jones34@hotmail.com,Grace,Jones,555-9300,1982-04-29,,coach,U14 Eagles,U14,40.00,unpaid,Cleats,M,2,2026-06-04 16:31:00
5056,oliver.hopper47@outlook.com,Oliver,Hopper,555-4526,1981-02-02,,parent,U14 Cobras,U14,20.00,unpaid,Socks,S,2,2026-06-06 11:51:00
5057,olivia.hopper7@gmail.com,Olivia,Hopper,555-9676,2016-10-19,parent_hopper@corp.io,player,U14 Cobras,U14,20.00,unpaid,Cleats,XL,1,2026-06-13 15:27:00
5058,olivia.oakley69@gmail.com,Olivia,Oakley,555-1550,2017-09-12,parent_oakley@outlook.com,player,U14 Cobras,U14,20.00,partial,Socks,L,2,2026-06-05 13:39:00
5059,james.oakley29@gmail.com,James,Oakley,555-4982,1980-07-02,,volunteer,U10 Storm,U10,25.00,unpaid,Jersey,S,1,2026-06-20 08:36:00
5060,noah.miller31@hotmail.com,Noah,Miller,555-5477,1981-06-27,,parent,U12 Bears,U12,45.00,unpaid,Shorts,YM,3,2026-06-07 11:52:00
5061,william.vance94@outlook.com,William,Vance,555-7935,1979-12-28,,parent,U14 Eagles,U14,30.00,partial,Socks,YL,3,2026-06-23 17:54:00
5062,grace.brodie89@gmail.com,Grace,Brodie,555-5815,1971-06-18,,coach,U12 Bears,U12,15.00,partial,Cleats,YS,1,2026-06-08 16:25:00
5063,grace.hopper71@yahoo.com,Grace,Hopper,555-7780,2016-04-19,parent_hopper@gmail.com,player,U12 Lightning,U12,45.00,partial,Socks,M,3,2026-06-03 09:08:00
5064,sarah.brown36@hotmail.com,Sarah,Brown,555-5319,1979-03-05,,coach,U14 Eagles,U14,10.00,partial,Shorts,YS,1,2026-06-03 11:36:00
5065,olivia.garcia5@yahoo.com,Olivia,Garcia,555-2722,1995-06-01,,parent,U10 Tigers,U10,25.00,unpaid,Jersey,YL,1,2026-06-18 13:19:00
5066,james.johnson3@yahoo.com,James,Johnson,555-4645,2010-06-12,parent_johnson@corp.io,player,U12 Bears,U12,30.00,paid,Cleats,YM,2,2026-06-26 10:34:00
5067,sophia.garcia39@yahoo.com,Sophia,Garcia,555-2895,1985-02-09,,coach,U14 Eagles,U14,40.00,paid,Cleats,L,2,2026-06-21 10:42:00
5068,sophia.williams20@outlook.com,Sophia,Williams,555-9198,1995-11-28,,volunteer,U10 Storm,U10,20.00,unpaid,Shorts,L,1,2026-06-18 13:01:00
5069,daniel.hopper94@corp.io,Daniel,Hopper,555-5693,1983-06-16,,parent,U14 Cobras,U14,30.00,unpaid,Cleats,XL,2,2026-06-14 14:04:00
5070,olivia.vance85@outlook.com,Olivia,Vance,555-4772,1974-09-20,,coach,U10 Tigers,U10,20.00,partial,Socks,S,2,2026-06-20 09:41:00
5071,liam.brodie43@hotmail.com,Liam,Brodie,555-4094,1986-07-01,,coach,U12 Bears,U12,20.00,unpaid,Shorts,L,1,2026-06-02 15:31:00
5072,ava.oakley53@gmail.com,Ava,Oakley,555-5109,1970-07-26,,volunteer,U14 Cobras,U14,20.00,partial,Cleats,YM,1,2026-06-27 12:50:00
5073,sophia.garcia14@outlook.com,Sophia,Garcia,555-7748,1986-02-20,,coach,U14 Cobras,U14,20.00,partial,Cleats,L,1,2026-06-27 10:02:00
5074,james.hopper56@corp.io,James,Hopper,555-2276,1975-10-20,,parent,U10 Storm,U10,10.00,partial,Cleats,L,1,2026-06-29 13:29:00
5075,marcus.brown81@gmail.com,Marcus,Brown,555-7981,2014-12-21,parent_brown@corp.io,player,U12 Bears,U12,60.00,partial,Cleats,YS,3,2026-06-20 13:25:00
5076,ava.hopper38@yahoo.com,Ava,Hopper,555-4601,1986-11-09,,volunteer,U12 Bears,U12,10.00,unpaid,Socks,YS,1,2026-06-02 16:09:00
5077,olivia.hopper88@yahoo.com,Olivia,Hopper,555-8286,1987-03-14,,Parent ,U14 Cobras,U14,25.00,unpaid,Jersey,S,1,2026-06-22 15:21:00
5078,timmy.davis38@gmail.com,Timmy,Davis,555-2163,2013-01-01,parent_davis@gmail.com,player,U10 Tigers,U10,15.00,partial,Socks,XL,1,2026-06-10 16:48:00
5079,alex.smith86@corp.io,Alex,Smith,555-7930,1986-07-04,,coach,U14 Eagles,U14,10.00,unpaid,Socks,YL,1,2026-06-27 11:36:00
5080,ava.jones78@gmail.com,Ava,Jones,555-5197,2015-02-11,parent_jones@outlook.com,player,U14 Cobras,U14,15.00,paid,Cleats,S,1,2026-06-26 12:35:00
5081,olivia.williams65@yahoo.com,Olivia,Williams,555-6609,1994-01-06,,volunter,U12 Bears,U12,10.00,paid,Shorts,L,1,2026-06-26 11:50:00
5082,liam.miller69@gmail.com,Liam,Miller,555-7264,1982-03-05,,parent,U14 Eagles,U14,45.00,paid,Shorts,YS,3,2026-06-03 11:33:00
5083,sophia.rodriguez42@hotmail.com,Sophia,Rodriguez,555-1796,2015-04-23,parent_rodriguez@outlook.com,player,U10 Storm,U10,15.00,unpaid,Shorts,M,1,2026-06-10 10:18:00
5084,marcus.johnson84@yahoo.com,Marcus,Johnson,555-5334,2013-12-13,parent_johnson@yahoo.com,player,U12 Lightning,U12,20.00,partial,Socks,YS,1,2026-06-25 11:39:00
5085,grace.garcia99@outlook.com,Grace,Garcia,555-5111,1970-08-26,,parent,U10 Storm,U10,20.00,unpaid,Cleats,L,1,2026-06-27 17:43:00
5086,liam.martinez75@yahoo.com,Liam,Martinez,555-7365,1991-03-17,,parent,U12 Lightning,U12,10.00,unpaid,Socks,YM,1,2026-06-13 17:46:00
5087,grace.brown22@yahoo.com,Grace,Brown,555-4019,1988-09-23,,volunteer,U10 Tigers,U10,50.00,unpaid,Jersey,M,2,2026-06-11 16:37:00
5088,noah.hopper53@gmail.com,Noah,Hopper,555-4404,1973-09-23,,coach,U12 Lightning,U12,25.00,paid,Jersey,M,1,2026-06-22 15:44:00
5089,marcus.vance44@yahoo.com,Marcus,Vance,555-8568,1994-12-03,,parent,U12 Lightning,U12,20.00,paid,Cleats,M,1,2026-06-30 16:53:00
5090,daniel.vance89@yahoo.com,Daniel,Vance,555-8065,2014-05-21,parent_vance@yahoo.com,player,U12 Bears,U12,50.00,partial,Jersey,XL,2,2026-06-22 17:49:00
5091,olivia.rodriguez36@gmail.com,Olivia,Rodriguez,555-6443,2017-04-27,parent_rodriguez@hotmail.com,player,U14 Eagles,U14,10.00,partial,Shorts,YM,1,2026-06-20 11:17:00
5092,grace.brodie62@gmail.com,Grace,Brodie,555-2465,2017-05-24,parent_brodie@gmail.com,player,U10 Storm,U10,15.00,unpaid,Cleats,L,1,2026-06-09 09:26:00
5093,grace.garcia4@outlook.com,Grace,Garcia,555-9363,1973-05-11,,volunteer,U14 Cobras,U14,100.00,partial,Jersey,L,4,2026-06-11 11:20:00
5094,liam.hopper73@gmail.com,Liam,Hopper,555-4350,1990-01-29,,Parent ,U10 Tigers,U10,25.00,paid,Jersey,YM,1,2026-06-14 08:06:00
5095,ava.jones8@yahoo.com,Ava,Jones,555-8994,2012-03-07,parent_jones@gmail.com,player,U14 Eagles,U14,20.00,partial,Socks,XL,1,2026-06-11 14:32:00
5096,noah.jones47@gmail.com,Noah,Jones,555-7316,1985-12-27,,volunteer,U14 Cobras,U14,25.00,paid,Jersey,XL,1,2026-06-27 10:35:00
5097,noah.vance95@corp.io,Noah,Vance,555-8325,1984-11-06,,parent,U10 Tigers,U10,15.00,paid,Cleats,XL,1,2026-06-19 11:34:00
5098,olivia.brown10@outlook.com,Olivia,Brown,555-1626,1992-05-17,,coach,U10 Storm,U10,15.00,partial,Shorts,S,1,2026-06-26 08:41:00
5099,sarah.brodie90@hotmail.com,Sarah,Brodie,555-3176,1994-06-01,,volunteer,U10 Storm,U10,20.00,unpaid,Socks,L,2,2026-06-22 10:41:00
5100,noah.williams3@hotmail.com,Noah,Williams,555-4412,1972-01-03,,volunteer,U12 Bears,U12,45.00,paid,Socks,XL,3,2026-06-05 15:13:00
5101,ava.oakley8@hotmail.com,Ava,Oakley,555-6358,2016-05-22,parent_oakley@corp.io,player,U12 Lightning,U12,60.00,unpaid,Shorts,M,3,2026-06-25 08:41:00
5102,noah.johnson4@yahoo.com,Noah,Johnson,555-7989,2011-03-24,parent_johnson@outlook.com,player,U14 Eagles,U14,25.00,unpaid,Jersey,S,1,2026-06-18 08:43:00
5103,sophia.miller25@hotmail.com,Sophia,Miller,555-6992,1972-01-11,,parent,U14 Eagles,U14,50.00,unpaid,Jersey,YS,2,2026-06-10 16:49:00
5104,daniel.martinez45@corp.io,Daniel,Martinez,555-9032,1991-05-13,,volunteer,U12 Bears,U12,20.00,unpaid,Socks,YL,1,2026-06-15 15:55:00
5105,william.vance11@outlook.com,William,Vance,555-4145,1976-01-14,,coach,U10 Tigers,U10,15.00,paid,Shorts,S,1,2026-06-23 16:02:00
5106,sarah.vance15@gmail.com,Sarah,Vance,555-7306,2013-06-06,parent_vance@outlook.com,player,U14 Eagles,U14,20.00,paid,Shorts,S,1,2026-06-03 13:13:00
5107,grace.smith91@yahoo.com,Grace,Smith,555-5560,1980-12-29,,volunteer,U12 Lightning,U12,15.00,paid,Shorts,M,1,2026-06-01 14:04:00
5108,liam.smith25@corp.io,Liam,Smith,555-9472,1981-01-23,,parent,U12 Lightning,U12,25.00,partial,Jersey,YM,1,2026-06-22 09:27:00
5109,olivia.smith45@gmail.com,Olivia,Smith,555-8541,1993-06-22,,volunteer,U12 Lightning,U12,10.00,unpaid,Cleats,L,1,2026-06-01 12:02:00
5110,liam.williams7@outlook.com,Liam,Williams,555-9085,2019-03-10,parent_williams@hotmail.com,player,U12 Bears,U12,20.00,partial,Shorts,S,1,2026-06-06 08:27:00
5111,ava.vance60@gmail.com,Ava,Vance,555-9369,1992-06-23,,parent,U10 Storm,U10,20.00,unpaid,Socks,M,2,2026-06-02 12:17:00
5112,olivia.hopper95@yahoo.com,Olivia,Hopper,555-2915,1994-12-14,,coach,U12 Bears,U12,15.00,unpaid,Cleats,S,1,2026-06-30 09:50:00
5113,noah.hopper31@hotmail.com,Noah,Hopper,555-7681,1970-02-21,,coach,U10 Storm,U10,40.00,paid,Shorts,YL,4,2026-06-28 09:44:00
5114,alex.oakley91@outlook.com,Alex,Oakley,555-1852,1987-01-22,,parent,U12 Bears,U12,15.00,unpaid,Shorts,L,1,2026-06-04 15:28:00
5115,isabella.brodie78@yahoo.com,Isabella,Brodie,555-8187,2012-04-28,parent_brodie@outlook.com,player,U10 Tigers,U10,30.00,unpaid,Socks,YM,3,2026-06-10 16:56:00
5116,emma.davis17@outlook.com,Emma,Davis,555-3377,1974-07-09,,volunteer,U10 Storm,U10,10.00,paid,Cleats,L,1,2026-06-15 10:35:00
5117,alex.davis24@yahoo.com,Alex,Davis,555-3717,1992-10-14,,coach,U14 Cobras,U14,10.00,unpaid,Cleats,YL,1,2026-06-07 13:39:00
5118,emma.vance37@hotmail.com,Emma,Vance,555-3095,2013-03-01,parent_vance@corp.io,player,U10 Tigers,U10,20.00,partial,Socks,XL,2,2026-06-27 15:15:00
5119,daniel.johnson30@yahoo.com,Daniel,Johnson,555-7314,2011-04-03,parent_johnson@gmail.com,player,U10 Storm,U10,20.00,paid,Socks,M,1,2026-06-26 08:32:00
5120,james.williams30@gmail.com,James,Williams,555-8711,1990-12-06,,volunteer,U12 Lightning,U12,30.00,unpaid,Socks,YS,2,2026-06-21 17:28:00
5121,sophia.rodriguez30@yahoo.com,Sophia,Rodriguez,555-4298,1993-09-08,,volunteer,U14 Cobras,U14,20.00,unpaid,Shorts,M,1,2026-06-14 17:32:00
5122,sophia.rodriguez45@corp.io,Sophia,Rodriguez,555-6925,1974-11-13,,volunteer,U14 Cobras,U14,15.00,paid,Cleats,XL,1,2026-06-15 09:53:00
5123,ava.brown30@outlook.com,Ava,Brown,555-8506,1977-02-12,,volunteer,U14 Eagles,U14,50.00,unpaid,Jersey,L,2,2026-06-10 11:07:00
5124,isabella.brodie38@hotmail.com,Isabella,Brodie,555-3841,2016-12-04,parent_brodie@outlook.com,player,U10 Storm,U10,20.00,partial,Cleats,YS,1,2026-06-06 09:35:00
5125,alex.brodie39@hotmail.com,Alex,Brodie,555-4502,2013-02-01,parent_brodie@corp.io,player,U12 Lightning,U12,15.00,partial,Shorts,L,1,2026-06-30 14:35:00
5126,william.johnson69@yahoo.com,William,Johnson,555-9161,2019-01-24,parent_johnson@corp.io,player,U12 Bears,U12,20.00,unpaid,Cleats,YL,1,2026-06-27 17:44:00
5127,james.miller52@outlook.com,James,Miller,555-8693,2015-09-02,parent_miller@outlook.com,player,U10 Tigers,U10,10.00,partial,Shorts,M,1,2026-06-20 10:56:00
5128,liam.hopper55@corp.io,Liam,Hopper,555-9784,2012-09-21,parent_hopper@gmail.com,player,U10 Storm,U10,15.00,paid,Socks,S,1,2026-06-08 08:35:00
5129,alex.miller99@gmail.com,Alex,Miller,555-2182,2013-01-30,parent_miller@corp.io,player,U14 Cobras,U14,60.00,paid,Socks,M,3,2026-06-11 08:09:00
5130,sarah.brown8@outlook.com,Sarah,Brown,555-7050,1978-07-02,,volunteer,U10 Tigers,U10,10.00,paid,Socks,XL,1,2026-06-21 16:06:00
5131,oliver.brown27@corp.io,Oliver,Brown,555-6621,2018-08-24,parent_brown@outlook.com,player,U12 Lightning,U12,10.00,partial,Cleats,XL,1,2026-06-05 09:06:00
5132,oliver.jones39@corp.io,Oliver,Jones,555-8575,2019-04-13,parent_jones@gmail.com,Player,U14 Eagles,U14,20.00,partial,Shorts,YS,1,2026-06-09 16:11:00
5133,william.jones54@corp.io,William,Jones,555-3567,1986-12-16,,coach,U10 Tigers,U10,20.00,paid,Cleats,L,1,2026-06-29 11:35:00
5134,noah.jones43@yahoo.com,Noah,Jones,555-3563,2011-07-06,parent_jones@yahoo.com,player,U12 Lightning,U12,20.00,unpaid,Shorts,XL,1,2026-06-29 08:36:00
5135,oliver.brown57@gmail.com,Oliver,Brown,555-9802,2015-07-05,parent_brown@outlook.com,player,U12 Bears,U12,30.00,unpaid,Shorts,L,2,2026-06-29 09:49:00
5136,timmy.rodriguez5@outlook.com,Timmy,Rodriguez,555-1180,1991-03-14,,coach,U14 Cobras,U14,20.00,partial,Shorts,XL,1,2026-06-03 09:59:00
5137,ava.jones29@yahoo.com,Ava,Jones,555-5994,2013-06-07,parent_jones@gmail.com,player,U12 Bears,U12,75.00,unpaid,Jersey,XL,3,2026-06-22 13:42:00
5138,alex.oakley54@outlook.com,Alex,Oakley,555-9615,1984-09-13,,volunteer,U10 Tigers,U10,10.00,partial,Socks,YS,1,2026-06-13 08:27:00
5139,isabella.davis75@outlook.com,Isabella,Davis,555-8097,1989-07-22,,volunteer,U10 Storm,U10,30.00,partial,Socks,XL,2,2026-06-15 14:57:00
5140,emma.brown1@gmail.com,Emma,Brown,555-9625,1975-07-19,,parent,U10 Tigers,U10,25.00,unpaid,Jersey,S,1,2026-06-19 08:41:00
5141,alex.brodie46@hotmail.com,Alex,Brodie,555-1776,1975-09-11,,volunteer,U12 Bears,U12,10.00,unpaid,Socks,S,1,2026-06-27 17:03:00
5142,grace.davis83@yahoo.com,Grace,Davis,555-4238,1982-02-18,,coach,U10 Storm,U10,50.00,partial,Jersey,YM,2,2026-06-15 13:54:00
5143,sophia.rodriguez67@yahoo.com,Sophia,Rodriguez,555-5371,2012-05-20,parent_rodriguez@gmail.com,player,U12 Lightning,U12,30.00,unpaid,Socks,YS,3,2026-06-09 15:06:00
5144,james.johnson15@hotmail.com,James,Johnson,555-3922,2014-05-15,parent_johnson@yahoo.com,player,U12 Lightning,U12,40.00,unpaid,Cleats,YS,2,2026-06-24 10:13:00
5145,grace.vance29@yahoo.com,Grace,Vance,555-6608,2013-02-23,parent_vance@outlook.com,player,U10 Storm,U10,20.00,paid,Cleats,L,2,2026-06-25 14:57:00
5146,liam.martinez2@yahoo.com,Liam,Martinez,555-2877,1976-10-06,,coach,U10 Storm,U10,20.00,partial,Shorts,XL,1,2026-06-16 11:06:00
5147,olivia.oakley26@hotmail.com,Olivia,Oakley,555-3821,1991-06-16,,coach,U12 Lightning,U12,20.00,unpaid,Cleats,S,2,2026-06-06 16:10:00
5148,olivia.williams5@yahoo.com,Olivia,Williams,555-8944,2010-11-07,parent_williams@hotmail.com,player,U12 Bears,U12,20.00,partial,Socks,YS,2,2026-06-28 13:20:00
5149,daniel.johnson51@outlook.com,Daniel,Johnson,555-5899,1993-10-27,,parent,U12 Bears,U12,20.00,paid,Socks,XL,2,2026-06-14 11:43:00
5150,oliver.davis19@hotmail.com,Oliver,Davis,555-9900,2015-09-05,parent_davis@yahoo.com,player,U10 Storm,U10,15.00,partial,Socks,XL,1,2026-06-26 16:55:00
5151,olivia.miller8@corp.io,Olivia,Miller,555-7831,1995-08-27,,coach,U10 Tigers,U10,15.00,partial,Shorts,S,1,2026-06-18 12:23:00
5152,emma.brodie25@hotmail.com,Emma,Brodie,555-6934,1975-01-05,,parent,U12 Lightning,U12,15.00,unpaid,Socks,M,1,2026-06-25 10:18:00
5153,william.jones48@hotmail.com,William,Jones,555-4550,1994-04-26,,volunteer,U14 Eagles,U14,25.00,paid,Jersey,S,1,2026-06-17 08:19:00
5154,sophia.hopper34@gmail.com,Sophia,Hopper,555-7780,1988-05-15,,coach,U10 Storm,U10,60.00,paid,Socks,YL,3,2026-06-21 14:06:00
5155,olivia.garcia55@gmail.com,Olivia,Garcia,555-4446,1985-01-31,,volunteer,U12 Bears,U12,30.00,paid,Cleats,YS,3,2026-06-28 17:26:00
5156,noah.williams22@hotmail.com,Noah,Williams,555-8592,1992-04-09,,volunteer,U14 Eagles,U14,15.00,unpaid,Cleats,S,1,2026-06-14 14:34:00
5157,grace.oakley90@yahoo.com,Grace,Oakley,555-7629,1981-02-28,,coachh,U10 Tigers,U10,75.00,partial,Jersey,L,3,2026-06-23 16:25:00
5158,james.hopper61@gmail.com,James,Hopper,555-9826,1989-09-30,,coach,U10 Tigers,U10,60.00,unpaid,Socks,YL,4,2026-06-10 14:48:00
5159,marcus.brown1@yahoo.com,Marcus,Brown,555-5224,1990-06-20,,volunteer,U14 Eagles,U14,15.00,partial,Shorts,YM,1,2026-06-06 14:22:00
